productName,price,image,category,link,teint,color,type_peau
Correcteur accord parfait - 9D Acajou,"6,90 €",https://www.sagacosmetics.com/19245-large_default/correcteur-accord-parfait-9d-acajou-nu.jpg,teint,https://www.sagacosmetics.com/correcteur-accord-parfait-9d-acajou-nu.html#/1848-couleur-acajou_9d,claire,,
Correcteur accord parfait - 2.R/C Vanille Rosé,"6,90 €",https://www.sagacosmetics.com/19242-large_default/correcteur-accord-parfait-vanille-r-nu.jpg,teint,https://www.sagacosmetics.com/correcteur-accord-parfait-vanille-r-nu.html#/1847-couleur-vanille_rose_2r_c,claire,,
L'Oréal Paris - crème teintée - Saga Cosmetics,"9,90 €",https://www.sagacosmetics.com/18795-large_default/creme-anti-age-bb-creme-01-light.jpg,teint,https://www.sagacosmetics.com/creme-anti-age-bb-creme-01-light.html,claire,,
Palette illuminatrice La vie en Glow - 01 Warm Glow - L'Oréal,"6,00 €",https://www.sagacosmetics.com/16521-large_default/palette-illuminatrices-la-vie-en-glow-01.jpg,teint,https://www.sagacosmetics.com/palette-illuminatrices-la-vie-en-glow-01.html,claire,,
Correcteur accord parfait - Beige rosé,"4,50 €",https://www.sagacosmetics.com/15374-large_default/correcteur-accord-parfait-beige-rose.jpg,teint,https://www.sagacosmetics.com/correcteur-accord-parfait-beige-rose.html,claire,,
Poudre compacte Accord parfait - Vanille rosé L'Oréal,"8,00 €",https://www.sagacosmetics.com/13107-large_default/poudre-compacte-accord-parfait-vanille-r.jpg,teint,https://www.sagacosmetics.com/poudre-compacte-accord-parfait-vanille-r.html#/1175-couleur-2r_vanille_rose,claire,,
Fond de teint liquide Infaillible 24h mat – 10 Porcelain,"8,50 €",https://www.sagacosmetics.com/12470-large_default/fdt-liquide-infaillible-24h-mat-10.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-24h-mat-10.html#/1016-couleur-10_porcelain,claire,,
Fond de teint liquide Infaillible Total Cover – 10 Porcelain,"5,00 €",https://www.sagacosmetics.com/12474-large_default/fdt-liquide-infaillible-total-cover-10.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-total-cover-10.html#/1022-couleur-tc_10_porcelain,claire,,
Fond de teint liquide Infaillible Total Cover – 13 Beige rosé,"5,00 €",https://www.sagacosmetics.com/12468-large_default/fdt-liquide-infaillible-total-cover-13.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-total-cover-13.html#/1023-couleur-tc_13_beige_rose,claire,,
Fond de teint Revitalift – 200 nude beige L'Oréal,"9,00 €",https://www.sagacosmetics.com/12598-large_default/fdt-liquide-revitalift-serum-200.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-revitalift-serum-200.html#/1047-couleur-200_nude_beige,claire,,
Fond de teint Accord parfait - Ivoire,"5,00 €",https://www.sagacosmetics.com/10051-large_default/fond-de-teint-accord-parfait-ivoire.jpg,teint,https://www.sagacosmetics.com/fond-de-teint-accord-parfait-ivoire.html#/497-couleur-1n_ivoire,claire,,
Correcteur accord parfait - 3.N Beige Crème,"6,00 €",https://www.sagacosmetics.com/19247-large_default/correcteur-accord-parfait-beige-creme.jpg,teint,https://www.sagacosmetics.com/correcteur-accord-parfait-beige-creme.html#/1849-couleur-beige_creme_3n,claire,,
Poudre minérale Accord Parfait - Vanille rosé,"4,90 €",https://www.sagacosmetics.com/10618-large_default/poudre-minerale-accord-parfait-vanille-rose.jpg,teint,https://www.sagacosmetics.com/poudre-minerale-accord-parfait-vanille-rose.html#/651-couleur-2r_vanille_rose,claire,,
Makeup visage - Teint parfait - L'Oréal Paris,"3,00 €",https://www.sagacosmetics.com/10089-large_default/palette-contour-indefectible-sculpt-02.jpg,teint,https://www.sagacosmetics.com/palette-contour-indefectible-sculpt-02.html#/517-couleur-02_claire_a_medium,claire,,
Poudre de teint - Accord parfait - L'Oréal Paris,"9,90 €",https://www.sagacosmetics.com/19250-large_default/pc-accord-parfait-ambre-dore-nu.jpg,teint,https://www.sagacosmetics.com/pc-accord-parfait-ambre-dore-nu.html,medium,,
Correcteur imperfections - Maquillage L'Oréal Paris à petit prix - SAGA Cosmetics,"6,90 €",https://www.sagacosmetics.com/19238-large_default/correcteur-touche-magique-ivory-beige.jpg,teint,https://www.sagacosmetics.com/correcteur-touche-magique-ivory-beige.html,medium,,
Crème teintée - L'Oréal Paris - Teinte médium,"9,90 €",https://www.sagacosmetics.com/18793-large_default/creme-anti-age-bb-creme-02-medium.jpg,teint,https://www.sagacosmetics.com/creme-anti-age-bb-creme-02-medium.html,medium,,
Poudre teint - anti ridules et rides - L'Oréal Paris,"9,90 €",https://www.sagacosmetics.com/17969-large_default/poudre-age-perfect-sable-dore.jpg,teint,https://www.sagacosmetics.com/poudre-age-perfect-sable-dore.html,medium,,
Sublimateur d'éclat Glow chérie - Medium,"8,90 €",https://www.sagacosmetics.com/16524-large_default/sublimateur-glow-cherie-eclat-medium.jpg,teint,https://www.sagacosmetics.com/sublimateur-glow-cherie-eclat-medium.html,medium,,
Tube de crème tintée - Skin paradise 01,"5,50 €",https://www.sagacosmetics.com/15178-large_default/creme-teintee-skin-paradise-01-30ml.jpg,teint,https://www.sagacosmetics.com/creme-teintee-skin-paradise-01-30ml.html#/1329-couleur-spdeep01,medium,,
Tube de crème tintée - Skin paradise 02,"5,50 €",https://www.sagacosmetics.com/15185-large_default/creme-teintee-skin-paradise-02-30ml.jpg,teint,https://www.sagacosmetics.com/creme-teintee-skin-paradise-02-30ml.html#/1330-couleur-spdeep02,medium,,
Tube de crème tintée - Skin paradise 03,"5,50 €",https://www.sagacosmetics.com/15183-large_default/creme-teintee-skin-paradise-03-30ml.jpg,teint,https://www.sagacosmetics.com/creme-teintee-skin-paradise-03-30ml.html#/1328-couleur-spmedium03,medium,,
Poudre visage - Fini couvrant - L'Oréal Paris,"9,00 €",https://www.sagacosmetics.com/15380-large_default/pc-24h-mat-infaillible-245.jpg,teint,https://www.sagacosmetics.com/pc-24h-mat-infaillible-245.html,medium,,
Poudre caramel Accord parfait - Caramel doré L'Oréal,"8,00 €",https://www.sagacosmetics.com/14255-large_default/poudre-compacte-accord-parfait-caramel-dore.jpg,teint,https://www.sagacosmetics.com/poudre-compacte-accord-parfait-caramel-dore.html,medium,,
BB crème Bonjour nudista en teinte Médium clair de la marque L'Oréal,"6,00 €",https://www.sagacosmetics.com/14202-large_default/bb-bonjour-nudista-medium-clair.jpg,teint,https://www.sagacosmetics.com/bb-bonjour-nudista-medium-clair.html#/859-couleur-bn_medium,medium,,
Fond de teint liquide Infaillible 24h mat - 30 Honey,"8,50 €",https://www.sagacosmetics.com/12472-large_default/fdt-liquide-infaillible-24h-mat-30.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-24h-mat-30.html#/1019-couleur-30_honey,medium,,
Fond de teint liquide Infaillible 24h mat - 32 Amber,"4,90 €",https://www.sagacosmetics.com/12467-large_default/fdt-liquide-infaillible-24h-mat-32.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-24h-mat-32.html#/1020-couleur-32_amber,medium,,
Fond de teint liquide Infaillible Total Cover – 09 Light sand,"8,50 €",https://www.sagacosmetics.com/12473-large_default/fdt-liquide-infaillible-total-cover-09.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-total-cover-09.html#/1021-couleur-tc_09_light_sand,medium,,
Fond de teint liquide Infaillible Total Cover – 21 Golden sand,"5,00 €",https://www.sagacosmetics.com/12475-large_default/fdt-liquide-infaillible-total-cover-21.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-total-cover-21.html#/1024-couleur-tc_21_golden_sand,medium,,
Fond de teint liquide Infaillible Total Cover - 22 Radiant beige,"5,00 €",https://www.sagacosmetics.com/12476-large_default/fdt-liquide-infaillible-total-cover-22.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-infaillible-total-cover-22.html#/1025-couleur-tc_22_radiant_beige,medium,,
Fond de teint Revitalift - 330 Miel L'Oréal,"6,00 €",https://www.sagacosmetics.com/12600-large_default/fdt-liquide-revitalift-serum-330.jpg,teint,https://www.sagacosmetics.com/fdt-liquide-revitalift-serum-330.html#/1048-couleur-330_miel,medium,,
Maquillage teint - Texture libre - L'Oréal Paris,"4,90 €",https://www.sagacosmetics.com/10620-large_default/poudre-minerale-accord-parfait-caramel.jpg,teint,https://www.sagacosmetics.com/poudre-minerale-accord-parfait-caramel.html#/661-couleur-65_d_caramel_dore,medium,,
BB Crème - Bonjour Nudista - Medium Clair,"6,00 €",https://www.sagacosmetics.com/14207-large_default/bb-creme-bonjour-nudista-02-medium-clair.jpg,teint,https://www.sagacosmetics.com/bb-creme-bonjour-nudista-02-medium-clair.html#/1216-couleur-bn_medium_clair,medium,,
Fond de Teint en tube Glam Beige medium light l'oréal,"8,50 €",https://www.sagacosmetics.com/11728-large_default/fond-de-teint-glam-beige-medium-light.jpg,teint,https://www.sagacosmetics.com/fond-de-teint-glam-beige-medium-light.html,medium,,
fond de teint en tube glam beige de l'oreal medium dark,"6,00 €",https://www.sagacosmetics.com/11726-large_default/fond-de-teint-glam-beige-medium-dark.jpg,teint,https://www.sagacosmetics.com/fond-de-teint-glam-beige-medium-dark.html#/860-couleur-bn_fonce,medium,,
Poudre compacte bonne mine - Glam Beige Medium Dark,"8,00 €",https://www.sagacosmetics.com/13002-large_default/poudre-glam-medium-dark.jpg,teint,https://www.sagacosmetics.com/poudre-glam-medium-dark.html,medium,,
Fond de teint Accord Parfait -  Ambre Rosé,"8,00 €",https://www.sagacosmetics.com/12242-large_default/fond-de-teint-accord-parfait-ambre-rose.jpg,teint,https://www.sagacosmetics.com/fond-de-teint-accord-parfait-ambre-rose.html,medium,,
Fond de teint true match - 8D Cappuccino doré,"8,00 €",https://www.sagacosmetics.com/12497-large_default/fdt-true-match-bt-8d-cappuccino-nu.jpg,teint,https://www.sagacosmetics.com/fdt-true-match-bt-8d-cappuccino-nu.html,medium,,
