couleur_peau,style,C1,C2,C3
"(252, 245, 232)",monochrome,"(222, 156, 33)","(232, 181, 87)","(240, 206, 142)"
"(252, 245, 232)",monochrome-dark,"(222, 156, 33)","(232, 181, 87)","(191, 191, 191)"
"(252, 245, 232)",monochrome-light,"(128, 128, 128)","(159, 159, 159)","(240, 206, 142)"
"(252, 245, 232)",analogic,"(249, 236, 212)","(249, 250, 218)","(240, 251, 223)"
"(252, 245, 232)",complement,"(184, 205, 243)","(197, 214, 246)","(249, 235, 210)"
"(252, 245, 232)",analogic-complement,"(140, 171, 229)","(163, 189, 239)","(229, 251, 223)"
"(252, 245, 232)",triad,"(184, 243, 221)","(230, 197, 246)","(249, 235, 210)"
"(250, 242, 231)",monochrome,"(208, 140, 47)","(221, 169, 98)","(233, 198, 149)"
"(250, 242, 231)",monochrome-dark,"(208, 140, 47)","(221, 169, 98)","(191, 191, 191)"
"(250, 242, 231)",monochrome-light,"(128, 128, 128)","(159, 159, 159)","(233, 198, 149)"
"(250, 242, 231)",analogic,"(245, 232, 213)","(247, 246, 218)","(240, 248, 223)"
"(250, 242, 231)",complement,"(187, 208, 238)","(199, 217, 242)","(246, 231, 211)"
"(250, 242, 231)",analogic-complement,"(146, 178, 222)","(167, 195, 233)","(230, 248, 223)"
"(250, 242, 231)",triad,"(187, 238, 215)","(225, 199, 242)","(246, 231, 211)"
"(250, 241, 214)",monochrome,"(224, 176, 31)","(233, 196, 86)","(241, 216, 142)"
"(250, 241, 214)",monochrome-dark,"(224, 176, 31)","(233, 196, 86)","(191, 191, 191)"
"(250, 241, 214)",monochrome-light,"(128, 128, 128)","(159, 159, 159)","(241, 216, 142)"
"(250, 241, 214)",analogic,"(247, 234, 196)","(242, 248, 202)","(228, 249, 207)"
"(250, 241, 214)",complement,"(171, 188, 241)","(183, 199, 244)","(248, 235, 196)"
"(250, 241, 214)",analogic-complement,"(131, 156, 228)","(154, 175, 237)","(212, 249, 207)"
"(250, 241, 214)",triad,"(171, 241, 222)","(230, 183, 244)","(248, 235, 196)"
"(238, 218, 186)",monochrome,"(201, 145, 54)","(216, 172, 103)","(230, 200, 153)"
"(238, 218, 186)",monochrome-dark,"(201, 145, 54)","(216, 172, 103)","(191, 191, 191)"
"(238, 218, 186)",monochrome-light,"(128, 128, 128)","(159, 159, 159)","(230, 200, 153)"
"(238, 218, 186)",analogic,"(233, 210, 174)","(235, 235, 178)","(217, 237, 183)"
"(238, 218, 186)",complement,"(156, 183, 226)","(167, 191, 231)","(236, 214, 178)"
"(238, 218, 186)",analogic-complement,"(129, 160, 211)","(148, 177, 223)","(197, 237, 183)"
"(238, 218, 186)",triad,"(156, 226, 198)","(208, 167, 231)","(236, 214, 178)"
"(215, 185, 139)",monochrome,"(166, 124, 61)","(197, 156, 93)","(215, 185, 139)"
"(215, 185, 139)",monochrome-dark,"(166, 124, 61)","(197, 156, 93)","(177, 177, 177)"
"(215, 185, 139)",monochrome-light,"(113, 113, 113)","(145, 145, 145)","(215, 185, 139)"
"(215, 185, 139)",analogic,"(210, 179, 132)","(212, 211, 135)","(188, 215, 139)"
"(215, 185, 139)",complement,"(121, 153, 201)","(130, 161, 208)","(215, 185, 139)"
"(215, 185, 139)",analogic-complement,"(105, 137, 185)","(121, 153, 201)","(159, 215, 139)"
"(215, 185, 139)",triad,"(121, 201, 168)","(179, 130, 208)","(215, 185, 139)"
"(171, 129, 78)",monochrome,"(82, 63, 40)","(126, 96, 59)","(171, 129, 78)"
"(171, 129, 78)",monochrome-dark,"(82, 63, 40)","(126, 96, 59)","(125, 125, 125)"
"(171, 129, 78)",monochrome-light,"(61, 61, 61)","(93, 93, 93)","(171, 129, 78)"
"(171, 129, 78)",analogic,"(159, 122, 77)","(165, 158, 78)","(143, 171, 78)"
"(171, 129, 78)",complement,"(75, 105, 142)","(77, 113, 156)","(171, 129, 78)"
"(171, 129, 78)",analogic-complement,"(70, 90, 116)","(75, 105, 142)","(108, 171, 78)"
"(171, 129, 78)",triad,"(75, 142, 110)","(122, 77, 156)","(171, 129, 78)"
"(153, 103, 72)",monochrome,"(65, 45, 32)","(109, 74, 53)","(153, 103, 72)"
"(153, 103, 72)",monochrome-dark,"(65, 45, 32)","(109, 74, 53)","(113, 113, 113)"
"(153, 103, 72)",monochrome-light,"(49, 49, 49)","(81, 81, 81)","(153, 103, 72)"
"(153, 103, 72)",analogic,"(142, 98, 71)","(147, 129, 71)","(142, 153, 72)"
"(153, 103, 72)",complement,"(68, 103, 125)","(70, 113, 139)","(153, 103, 72)"
"(153, 103, 72)",analogic-complement,"(62, 85, 100)","(68, 103, 125)","(112, 153, 72)"
"(153, 103, 72)",triad,"(68, 125, 89)","(98, 70, 139)","(153, 103, 72)"
"(117, 71, 54)",monochrome,"(29, 18, 14)","(73, 45, 35)","(117, 71, 54)"
"(117, 71, 54)",monochrome-dark,"(29, 18, 14)","(73, 45, 35)","(85, 85, 85)"
"(117, 71, 54)",monochrome-light,"(22, 22, 22)","(54, 54, 54)","(117, 71, 54)"
"(117, 71, 54)",analogic,"(106, 67, 52)","(112, 91, 53)","(116, 117, 54)"
